"TF","Score"
"MA0077.1",23
"MA0479.1",23
"MA0660.1",23
"MA0141.3",23
"MA0510.2",23
"MA1129.1",23
"MA1136.1",23
"MA1576.1",23
"MA0605.2",23
"MA0913.2",23
"MA1714.1",23
"MA1108.2",23
"MA1979.1",23
"MA0798.3",23
"MA0070.1",22
"MA0072.1",22
"MA0159.1",22
"MA0638.1",22
"MA0683.1",22
"MA0600.2",22
"MA0796.1",22
"MA0147.3",22
"MA1119.1",22
"MA1126.1",22
"MA1132.1",22
"MA1133.1",22
"MA1141.1",22
"MA1531.1",22
"MA1533.1",22
"MA1559.1",22
"MA0842.2",22
"MA0868.2",22
"MA0871.2",22
"MA1638.1",22
"MA1639.1",22
"MA1727.1",22
"MA0835.2",22
"MA0154.4",22
"MA0500.2",22
"MA0609.2",22
"MA0476.1",21
"MA0595.1",21
"MA0131.2",21
"MA0653.1",21
"MA0692.1",21
"MA0732.1",21
"MA0802.1",21
"MA1124.1",21
"MA1485.1",21
"MA1530.1",21
"MA1588.1",21
"MA1649.1",21
"MA1123.2",21
"MA0690.2",21
"MA1532.2",21
"MA0665.1",20
"MA0688.1",20
"MA0797.1",20
"MA1118.1",20
"MA1128.1",20
"MA1520.1",20
"MA1534.1",20
"MA1583.1",20
"MA0620.3",20
"MA0056.2",20
"MA0526.4",20
"MA0831.3",20
"MA0672.1",19
"MA0731.1",19
"MA0738.1",19
"MA0800.1",19
"MA0843.1",19
"MA1135.1",19
"MA1150.1",19
"MA1549.1",19
"MA0463.2",19
"MA1635.1",19
"MA0700.2",19
"MA0089.2",19
"MA0829.2",19
"MA1973.1",19
"MA1563.2",19
"MA0059.1",18
"MA0091.1",18
"MA0259.1",18
"MA0478.1",18
"MA0048.2",18
"MA0691.1",18
"MA0729.1",18
"MA1106.1",18
"MA1130.1",18
"MA1137.1",18
"MA1466.1",18
"MA1570.1",18
"MA1580.1",18
"MA1594.1",18
"MA0462.2",18
"MA1099.2",18
"MA1722.1",18
"MA1634.1",18
"MA1637.1",18
"MA1645.1",18
"MA0490.2",18
"MA1928.1",18
"MA1964.1",18
"MA1984.1",18
"MA1986.1",18
"MA2003.1",18
"MA0107.1",17
"MA0636.1",17
"MA0663.1",17
"MA0664.1",17
"MA0669.1",17
"MA0696.1",17
"MA0770.1",17
"MA0058.3",17
"MA0839.1",17
"MA0863.1",17
"MA1154.1",17
"MA0099.3",17
"MA1138.1",17
"MA1142.1",17
"MA1144.1",17
"MA1420.1",17
"MA1470.1",17
"MA1655.1",17
"MA0477.2",17
"MA1960.1",17
"MA0879.2",17
"MA0674.1",16
"MA0771.1",16
"MA0806.1",16
"MA0464.2",16
"MA0844.1",16
"MA0882.1",16
"MA0100.3",16
"MA0161.2",16
"MA1134.1",16
"MA1528.1",16
"MA1538.1",16
"MA1539.1",16
"MA1568.1",16
"MA1707.1",16
"MA1934.1",16
"MA1491.2",16
"MA1547.2",16
"MA0596.1",15
"MA0655.1",15
"MA0695.1",15
"MA0717.1",15
"MA0472.2",15
"MA0905.1",15
"MA1468.1",15
"MA1479.1",15
"MA1562.1",15
"MA1569.1",15
"MA1577.1",15
"MA1584.1",15
"MA1585.1",15
"MA0491.2",15
"MA0666.2",15
"MA0708.2",15
"MA0819.2",15
"MA0066.1",14
"MA0071.1",14
"MA0675.1",14
"MA0721.1",14
"MA0113.3",14
"MA0727.1",14
"MA0751.1",14
"MA0774.1",14
"MA0801.1",14
"MA0803.1",14
"MA0805.1",14
"MA0810.1",14
"MA0894.1",14
"MA0906.1",14
"MA0908.1",14
"MA0104.4",14
"MA1506.1",14
"MA1535.1",14
"MA0158.2",14
"MA0485.2",14
"MA1718.1",14
"MA0063.2",14
"MA1971.1",14
"MA0828.2",14
"MA0119.1",13
"MA0618.1",13
"MA0634.1",13
"MA0027.2",13
"MA0662.1",13
"MA0793.1",13
"MA0511.2",13
"MA0841.1",13
"MA0873.1",13
"MA0887.1",13
"MA1151.1",13
"MA1500.1",13
"MA1519.1",13
"MA1527.1",13
"MA0703.2",13
"MA1641.1",13
"MA1963.1",13
"MA1975.1",13
"MA0865.2",13
"MA0101.1",12
"MA0163.1",12
"MA0630.1",12
"MA0673.1",12
"MA0699.1",12
"MA0716.1",12
"MA0718.1",12
"MA0811.1",12
"MA0525.2",12
"MA0890.1",12
"MA0014.3",12
"MA1117.1",12
"MA1146.1",12
"MA1147.1",12
"MA1463.1",12
"MA1101.2",12
"MA1493.1",12
"MA1502.1",12
"MA1509.1",12
"MA1546.1",12
"MA1552.1",12
"MA1572.1",12
"MA1592.1",12
"MA1100.2",12
"MA0902.2",12
"MA0702.2",12
"MA0712.2",12
"MA1939.1",12
"MA0651.2",12
"MA1566.2",12
"MA0074.1",11
"MA0646.1",11
"MA0654.1",11
"MA0667.1",11
"MA0083.3",11
"MA0706.1",11
"MA0710.1",11
"MA0714.1",11
"MA0813.1",11
"MA0524.2",11
"MA0106.3",11
"MA0903.1",11
"MA1478.1",11
"MA1481.1",11
"MA1497.1",11
"MA1542.1",11
"MA1571.1",11
"MA1602.1",11
"MA0864.2",11
"MA0470.2",11
"MA0616.2",11
"MA0594.2",11
"MA0682.2",11
"MA0644.2",11
"MA0707.2",11
"MA0719.1",10
"MA0724.1",10
"MA0752.1",10
"MA0889.1",10
"MA1419.1",10
"MA1501.1",10
"MA1503.1",10
"MA1553.1",10
"MA1556.1",10
"MA0910.2",10
"MA0075.3",10
"MA1985.1",10
"MA0642.2",10
"MA0610.1",9
"MA0635.1",9
"MA0648.1",9
"MA0486.2",9
"MA0670.1",9
"MA0671.1",9
"MA0694.1",9
"MA0132.2",9
"MA0112.3",9
"MA0737.1",9
"MA0758.1",9
"MA0794.1",9
"MA0861.1",9
"MA0875.1",9
"MA0888.1",9
"MA0892.1",9
"MA0914.1",9
"MA1505.1",9
"MA1548.1",9
"MA1560.1",9
"MA0612.2",9
"MA0893.2",9
"MA0701.2",9
"MA0753.2",9
"MA1717.1",9
"MA1974.1",9
"MA0067.2",9
"MA0884.2",9
"MA1498.2",9
"MA0647.1",8
"MA0779.1",8
"MA0024.3",8
"MA0891.1",8
"MA0895.1",8
"MA1499.1",8
"MA0900.2",8
"MA0912.2",8
"MA0723.2",8
"MA0799.2",8
"MA0649.1",7
"MA0658.1",7
"MA0661.1",7
"MA0711.1",7
"MA0722.1",7
"MA0781.1",7
"MA0825.1",7
"MA0827.1",7
"MA1496.1",7
"MA1504.1",7
"MA1507.1",7
"MA1536.1",7
"MA1545.1",7
"MA1575.1",7
"MA1943.1",7
"MA0754.2",7
"MA0877.3",7
"MA0725.1",6
"MA0726.1",6
"MA0815.1",6
"MA0872.1",6
"MA1495.1",6
"MA1555.1",6
"MA0904.2",6
"MA0623.2",6
"MA1968.1",6
"MA0607.2",6
"MA0756.2",6
"MA0069.1",5
"MA0628.1",5
"MA0735.1",5
"MA0755.1",5
"MA0777.1",5
"MA0105.4",5
"MA0778.1",5
"MA0795.1",5
"MA0817.1",5
"MA0862.1",5
"MA0876.1",5
"MA0886.1",5
"MA1480.1",5
"MA1544.1",5
"MA1554.1",5
"MA0678.1",4
"MA0736.1",4
"MA0767.1",4
"MA0822.1",4
"MA1557.1",4
"MA1561.1",4
"MA0068.2",3
"MA0009.2",3
"MA0776.1",3
"MA0823.1",3
"MA0826.1",3
"MA0469.3",3
"MA0818.2",3
"MA0821.2",3
"MA0804.1",2
"MA1578.1",2
"MA0749.1",1
