"ENTREZID","SYMBOL"
"81631","MAP1LC3B"
"102724467","LOC102724467"
"54971","BANP"
"161882","ZFPM1"
"197187","SNAI3-AS1"
"100289580","HSALR1"
"9780","PIEZO1"
"81620","CDT1"
"353","APRT"
"2588","GALNS"
"197322","ACSF3"
"1800","DPEP1"
"92822","ZNF276"
"2175","FANCA"
"4157","MC1R"
"10381","TUBB3"
"105371423","LINC02193"
"123803","NTAN1"
"51031","GLOD4"
"3682","ITGAE"
"55421","NCBP3"
"9135","RABEP1"
"105371506","DHX33-DT"
"201232","SLC16A13"
"84667","HES7"
"5187","PER1"
"727676","SNORD118"
"100616406","MIR4521"
"81565","NDEL1"
"125150","ZSWIM7"
"10743","RAI1"
"125170","MIEF2"
"51030","TVP23B"
"27077","B9D1"
"218","ALDH3A1"
"3980","LIG3"
"163","AP2B1"
"7067","THRA"
"125111","GJD3"
"10609","P3H4"
"3060","HCRT"
"84514","GHDC"
"84313","VPS25"
"124817","CNTD1"
"6066","RNU2-1"
"124904136","LOC124904136"
"124904137","LOC124904137"
"124904139","LOC124904139"
"124904140","LOC124904140"
"124904141","LOC124904141"
"124904145","LOC124904145"
"124904144","LOC124904144"
"1659","DHX8"
"105371786","LINC02594"
"10014","HDAC5"
"124808","CCDC43"
"9343","EFTUD2"
"10614","HEXIM1"
"516","ATP5MC1"
"5245","PHB1"
"8405","SPOP"
"10237","SLC35B1"
"1747","DLX3"
"3675","ITGA3"
"373861","H1-9P"
"105371818","LOC105371818"
"162461","TMEM92"
"55379","LRRC59"
"55316","RSAD1"
"91369","ANKRD40"
"4831","NME2"
"6426","SRSF1"
"100616204","MIR4729"
"63897","HEATR6"
"8493","PPM1D"
"103689912","TBX2-AS1"
"11325","DDX42"
"374819","LRRC37A3"
"5718","PSMD12"
"2186","BPTF"
"51321","AMZ2"
"101928104","LINC01482"
"100499467","LINC00673"
"9382","COG1"
"124904055","LOC124904055"
"26151","NAT9"
"3396","MRPL58"
"201294","UNC13D"
"2125","EVPL"
"10801","SEPTIN9"
"105371910","LOC105371910"
"101928674","SOCS3-DT"
"8535","CBX4"
"9775","EIF4A3"
"57674","RNF213"
"284131","ENDOV"
"79643","CHMP6"
"10458","BAIAP2"
"105371927","LINC01971"
"71","ACTG1"
"1468","SLC25A10"
"5034","P4HB"
"124904086","LOC124904086"
"51529","ANAPC11"
"147111","NOTUM"
"124904087","LOC124904087"
"79058","ASPSCR1"
"51181","DCXR"
"2194","FASN"
"9123","SLC16A3"
"924","CD7"
"6904","TBCD"
"55556","ENOSF1"
"64863","METTL4"
"10928","RALBP1"
"81929","SEH1L"
"100129878","DYM-AS1"
"100526842","RPL17-C18orf32"
"51320","MEX3C"
"100505549","ATP8B1-AS1"
"54877","ZCCHC2"
"6209","RPS15"
"339366","ADAMTSL5"
"6929","TCF3"
"55111","PLEKHJ1"
"4946","OAZ1"
"4616","GADD45B"
"58509","CACTIN"
"1938","EEF2"
"105372250","LOC105372250"
"81890","QTRT1"
"79002","TRIR"
"84245","MRI1"
"28974","C19orf53"
"54862","CC2D1A"
"55723","ASF1B"
"4713","NDUFB7"
"10270","AKAP8"
"11283","CYP4F8"
"66002","CYP4F12"
"110806280","CCDC194"
"93343","MVB12A"
"100507551","PGLS-DT"
"23149","FCHO1"
"23031","MAST3"
"5864","RAB3A"
"7311","UBA52"
"51599","LSR"
"79171","RBM42"
"5438","POLR2I"
"57677","ZFP14"
"163255","ZNF540"
"9535","GMFG"
"6829","SUPT5H"
"8189","SYMPK"
"26145","IRF2BP1"
"5536","PPP5C"
"100422899","MIR3190"
"27113","BBC3"
"3978","LIG1"
"2357","FPR1"
"55311","ZNF444"
"55659","ZNF416"
"84878","ZBTB45"
"10155","TRIM28"
"124905321","LOC124905321"
"105373354","TMEM18-DT"
"6201","RPS7"
"9014","TAF1B"
"6241","RRM2"
"101929715","ODC1-DT"
"1653","DDX1"
"400946","LINC00954"
"101928222","WDR35-DT"
"23369","PUM2"
"64342","HS1BP3"
"105373466","LOC105373466"
"151449","GDF7"
"54454","ATAD2B"
"51639","SF3B6"
"1838","DTNB"
"10890","RAB10"
"60509","AGBL5"
"11117","EMILIN1"
"51072","MEMO1"
"64225","ATL2"
"92906","HNRNPLL"
"9167","COX7A2L"
"100129726","LINC01126"
"90411","MCFD2"
